sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min,completed,pct_collected
1,7x7,16,214,15.0,14.2667,71.67,0,83.6
2,7x7,16,209,15.0,13.9333,71.21,0,81.6
3,7x7,16,218,15.0,14.5333,69.92,0,85.2
4,7x7,16,203,15.0,13.5333,74.76,0,79.3
5,7x7,16,192,15.0,12.8,74.75,0,75.0
6,7x7,16,197,15.0,13.1333,74.98,0,77.0
7,7x7,16,209,15.0,13.9333,74.03,0,81.6
8,7x7,16,219,15.0,14.6,72.19,0,85.5
9,7x7,16,198,15.0,13.2,74.17,0,77.3
10,7x7,16,253,15.0,16.8667,67.17,0,98.8
11,7x7,16,224,15.0,14.9333,71.27,0,87.5
12,7x7,16,208,15.0,13.8667,73.95,0,81.2
13,7x7,16,235,15.0,15.6667,71.71,0,91.8
14,7x7,16,203,15.0,13.5333,71.99,0,79.3
15,7x7,16,219,15.0,14.6,71.63,0,85.5
16,7x7,16,202,15.0,13.4667,73.19,0,78.9
17,7x7,16,193,15.0,12.8667,74.82,0,75.4
18,7x7,16,216,15.0,14.4,73.08,0,84.4
19,7x7,16,211,15.0,14.0667,73.27,0,82.4
20,7x7,16,167,15.0,11.1333,76.21,0,65.2
