sample,arena,num_robots,deposits,sim_time_min,sim_rate,wall_time_min,completed,pct_collected
1,7x7,4,46,15.0,3.0667,4.92,0,71.9
2,7x7,4,54,15.0,3.6,5.15,0,84.4
3,7x7,4,58,15.0,3.8667,5.99,0,90.6
4,7x7,4,45,15.0,3.0,5.29,0,70.3
5,7x7,4,48,15.0,3.2,5.32,0,75.0
6,7x7,4,47,15.0,3.1333,4.91,0,73.4
7,7x7,4,58,15.0,3.8667,4.63,0,90.6
8,7x7,4,32,15.0,2.1333,5.32,0,50.0
9,7x7,4,50,15.0,3.3333,4.76,0,78.1
10,7x7,4,48,15.0,3.2,5.12,0,75.0
11,7x7,4,61,15.0,4.0667,4.7,0,95.3
12,7x7,4,39,15.0,2.6,5.05,0,60.9
13,7x7,4,29,15.0,1.9333,5.25,0,45.3
14,7x7,4,55,15.0,3.6667,4.73,0,85.9
15,7x7,4,64,15.0,4.2667,4.64,1,100.0
16,7x7,4,51,15.0,3.4,5.28,0,79.7
17,7x7,4,49,15.0,3.2667,4.95,0,76.6
18,7x7,4,48,15.0,3.2,4.9,0,75.0
19,7x7,4,48,15.0,3.2,4.72,0,75.0
20,7x7,4,55,15.0,3.6667,5.34,0,85.9
