sample,arena,num_robots,num_faults,deposits,sim_time_min,sim_rate,wall_time_min,pct_collected,failed_robot_1,failure_time_min_1,failed_robot_2,failure_time_min_2
1,5x5,4,2,38,10.0,3.8,5.2,59.4,1,2.3924,2,1.2879
2,5x5,4,2,46,10.0,4.6,4.94,71.9,4,2.3433,2,2.5859
3,5x5,4,2,37,10.0,3.7,4.95,57.8,4,1.9965,3,1.0383
4,5x5,4,2,40,10.0,4.0,4.99,62.5,4,1.7447,3,2.7046
5,5x5,4,2,37,10.0,3.7,5.18,57.8,4,1.3524,2,2.7018
6,5x5,4,2,46,10.0,4.6,4.8,71.9,1,1.3069,2,1.3212
7,5x5,4,2,47,10.0,4.7,4.95,73.4,4,2.5446,1,2.1944
8,5x5,4,2,38,10.0,3.8,4.97,59.4,3,1.3637,4,1.1271
9,5x5,4,2,42,10.0,4.2,5.22,65.6,1,2.8838,4,2.6782
10,5x5,4,2,41,10.0,4.1,5.08,64.1,3,2.7775,2,2.0445
11,5x5,4,2,34,10.0,3.4,5.15,53.1,1,2.308,3,2.2995
12,5x5,4,2,36,10.0,3.6,5.02,56.2,1,2.6896,4,1.9148
13,5x5,4,2,40,10.0,4.0,5.01,62.5,3,2.0578,2,2.4023
14,5x5,4,2,39,10.0,3.9,5.12,60.9,2,2.6967,1,2.5617
15,5x5,4,2,40,10.0,4.0,4.93,62.5,1,1.5363,3,2.4566
16,5x5,4,2,33,10.0,3.3,5.01,51.6,1,2.3253,3,1.594
17,5x5,4,2,44,10.0,4.4,4.75,68.8,3,1.868,4,1.9461
18,5x5,4,2,37,10.0,3.7,4.84,57.8,4,2.5473,3,1.7162
19,5x5,4,2,38,10.0,3.8,4.85,59.4,1,2.4622,3,2.1482
20,5x5,4,2,40,10.0,4.0,4.79,62.5,3,2.3801,1,1.8495
