sample,arena,num_robots,failed_robot,failure_time_min,deposits,sim_time_min,sim_rate,wall_time_min,pct_collected
1,5x5,4,1,1.05,51,10.0,5.1,5.46,79.7
2,5x5,4,3,1.4898,48,10.0,4.8,5.46,75.0
3,5x5,4,2,2.4729,41,10.0,4.1,5.83,64.1
4,5x5,4,1,2.181,48,10.0,4.8,5.62,75.0
5,5x5,4,1,1.0596,52,10.0,5.2,5.35,81.2
6,5x5,4,2,1.4653,57,10.0,5.7,6.25,89.1
7,5x5,4,1,2.1225,37,10.0,3.7,5.76,57.8
8,5x5,4,4,1.4409,41,10.0,4.1,5.64,64.1
9,5x5,4,3,2.6189,50,10.0,5.0,5.56,78.1
10,5x5,4,1,2.5176,38,10.0,3.8,5.83,59.4
11,5x5,4,2,2.3963,48,10.0,4.8,5.54,75.0
12,5x5,4,3,1.5557,48,10.0,4.8,5.44,75.0
13,5x5,4,2,2.9144,39,10.0,3.9,5.75,60.9
14,5x5,4,3,1.2044,39,10.0,3.9,5.63,60.9
15,5x5,4,4,1.1934,47,10.0,4.7,5.31,73.4
16,5x5,4,3,2.2075,47,10.0,4.7,5.4,73.4
17,5x5,4,1,2.4595,50,10.0,5.0,5.88,78.1
18,5x5,4,1,2.9462,52,10.0,5.2,5.33,81.2
19,5x5,4,4,1.1576,45,10.0,4.5,5.33,70.3
20,5x5,4,3,2.6588,44,10.0,4.4,5.28,68.8
