CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_132421_2.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
Step 500 (0.3 min) | Pickups: 6 | Deposits: 2 | Rate: 7.50 tags/min | phero_entries=2 max_w=0.722
======================================================================
R1[DEPART    ]: carry=0 | base=1.24 | wall=2.62 | search=  0 | target=none
R2[GIVE_UP   ]: carry=0 | base=1.71 | wall=1.96 | search=312 | target=none
R3[SEARCH    ]: carry=0 | base=1.75 | wall=2.14 | search=344 | target=none
R4[SEARCH    ]: carry=0 | base=1.18 | wall=2.47 | search=275 | target=none
R5[SURVEY    ]: carry=1 | base=0.63 | wall=2.89 | search=  0 | target=none
R6[DEPART    ]: carry=0 | base=2.07 | wall=1.69 | search=  0 | target=none
R7[RTB       ]: carry=1 | base=0.30 | wall=3.20 | search=  0 | target=none
R8[DEPART    ]: carry=0 | base=0.71 | wall=2.79 | search=  0 | target=none
R9[SEARCH    ]: carry=0 | base=2.09 | wall=1.45 | search=344 | target=none
R10[SEARCH    ]: carry=0 | base=1.84 | wall=1.67 | search=344 | target=none
R11[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.26 | search=  0 | target=site(-0.34,-0.63)
R12[SURVEY    ]: carry=1 | base=1.72 | wall=1.87 | search=  0 | target=none
R13[GIVE_UP   ]: carry=0 | base=0.58 | wall=2.99 | search=156 | target=none
R14[GIVE_UP   ]: carry=0 | base=1.36 | wall=2.43 | search=156 | target=none
R15[SITE      ]: carry=0 | base=0.27 | wall=3.25 | search=  0 | target=site(-0.06,-0.61)
R16[SURVEY    ]: carry=1 | base=1.54 | wall=1.97 | search=  0 | target=none

======================================================================
Step 1000 (0.5 min) | Pickups: 9 | Deposits: 4 | Rate: 7.50 tags/min | phero_entries=4 max_w=0.536
======================================================================
R1[RTB       ]: carry=1 | base=1.55 | wall=2.34 | search=  0 | target=none
R2[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.31 | search=  0 | target=phero(-0.17,-0.61)
R3[SURVEY    ]: carry=1 | base=3.11 | wall=1.19 | search=  0 | target=none
R4[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.29 | search=  0 | target=phero(-0.10,-0.60)
R5[SITE      ]: carry=0 | base=0.27 | wall=3.23 | search=  0 | target=site(-0.17,-0.61)
R6[WALL_ESC  ]: carry=0 | base=3.88 | wall=0.34 | search= 64 | target=none
R7[SEARCH    ]: carry=0 | base=0.68 | wall=2.85 | search=189 | target=site(-0.10,-0.60)
R8[SEARCH    ]: carry=0 | base=2.36 | wall=1.14 | search=454 | target=none
R9[SEARCH    ]: carry=0 | base=3.14 | wall=0.39 | search=844 | target=none
R10[SEARCH    ]: carry=0 | base=3.26 | wall=0.39 | search=844 | target=none
R11[SEARCH    ]: carry=0 | base=0.58 | wall=2.99 | search=201 | target=site(-0.34,-0.63)
R12[RTB       ]: carry=1 | base=0.35 | wall=3.17 | search=  0 | target=none
R13[SEARCH    ]: carry=0 | base=0.69 | wall=2.90 | search= 12 | target=phero(-0.34,-0.63)
R14[PHERO     ]: carry=0 | base=0.27 | wall=3.26 | search=  0 | target=phero(-0.10,-0.60)
R15[RTB       ]: carry=1 | base=0.75 | wall=2.78 | search=  0 | target=none
R16[RTB       ]: carry=1 | base=0.33 | wall=3.18 | search=  0 | target=none

======================================================================
Step 1500 (0.8 min) | Pickups: 12 | Deposits: 9 | Rate: 11.25 tags/min | phero_entries=9 max_w=0.888
======================================================================
R1[SITE      ]: carry=0 | base=0.40 | wall=3.15 | search=  0 | target=site(1.26,-1.29)
R2[SEARCH    ]: carry=0 | base=0.71 | wall=2.83 | search=125 | target=phero(-0.17,-0.61)
R3[RTB       ]: carry=1 | base=1.72 | wall=2.20 | search=  0 | target=none
R4[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.26 | search=  0 | target=phero(-0.15,-0.69)
R5[RTB       ]: carry=1 | base=0.71 | wall=2.81 | search=  0 | target=none
R6[GIVE_UP   ]: carry=0 | base=2.69 | wall=1.41 | search=156 | target=none
R7[BASE_ESC  ]: carry=0 | base=0.19 | wall=3.31 | search=  0 | target=site(-0.15,-0.69)
R8[SEARCH    ]: carry=0 | base=3.16 | wall=0.37 | search=954 | target=none
R9[WALL_ESC  ]: carry=0 | base=3.18 | wall=0.35 | search=1344 | target=none
R10[WALL_ESC  ]: carry=0 | base=3.62 | wall=0.34 | search=1344 | target=none
R11[SEARCH    ]: carry=0 | base=1.70 | wall=1.81 | search=701 | target=site(-0.34,-0.63)
R12[SITE      ]: carry=0 | base=1.47 | wall=2.10 | search=  0 | target=site(0.56,-1.63)
R13[SEARCH    ]: carry=0 | base=0.98 | wall=2.66 | search=512 | target=phero(-0.34,-0.63)
R14[SEARCH    ]: carry=0 | base=0.64 | wall=2.86 | search= 30 | target=phero(-0.10,-0.60)
R15[SITE      ]: carry=0 | base=0.64 | wall=2.89 | search=  0 | target=site(-0.20,-0.68)
R16[SURVEY    ]: carry=1 | base=0.76 | wall=2.74 | search=  0 | target=none

======================================================================
Step 2000 (1.1 min) | Pickups: 16 | Deposits: 12 | Rate: 11.25 tags/min | phero_entries=12 max_w=0.690
======================================================================
R1[SEARCH    ]: carry=0 | base=1.76 | wall=2.20 | search=143 | target=site(1.26,-1.29)
R2[RTB       ]: carry=1 | base=0.31 | wall=3.19 | search=  0 | target=none
R3[SITE      ]: carry=0 | base=0.27 | wall=3.28 | search=  0 | target=site(-2.08,2.31)
R4[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.26 | search=235 | target=phero(-0.15,-0.69)
R5[SEARCH    ]: carry=0 | base=0.80 | wall=2.74 | search=115 | target=site(-0.20,-0.70)
