CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_135828.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
Step 500 (0.3 min) | Pickups: 2 | Deposits: 2 | Rate: 7.50 tags/min | phero_entries=2 max_w=0.562
======================================================================
R1[SEARCH    ]: carry=0 | base=1.02 | wall=2.68 | search=123 | target=none
R2[SEARCH    ]: carry=0 | base=2.33 | wall=1.35 | search= 32 | target=none
R3[DEPART    ]: carry=0 | base=0.71 | wall=2.84 | search=  0 | target=none
R4[SEARCH    ]: carry=0 | base=1.13 | wall=2.42 | search=344 | target=none
R5[GIVE_UP   ]: carry=0 | base=0.53 | wall=3.05 | search=156 | target=none
R6[SEARCH    ]: carry=0 | base=1.93 | wall=1.97 | search= 32 | target=none
R7[SEARCH    ]: carry=0 | base=1.09 | wall=2.45 | search=304 | target=none
R8[SEARCH    ]: carry=0 | base=1.69 | wall=1.83 | search=186 | target=none
R9[SEARCH    ]: carry=0 | base=0.56 | wall=3.09 | search=170 | target=none
R10[SEARCH    ]: carry=0 | base=0.71 | wall=2.96 | search=344 | target=none
R11[SITE      ]: carry=0 | base=0.45 | wall=3.12 | search=  0 | target=site(-0.53,-0.53)
R12[SEARCH    ]: carry=0 | base=1.56 | wall=2.21 | search=185 | target=none
R13[SEARCH    ]: carry=0 | base=2.21 | wall=1.31 | search=344 | target=none
R14[SEARCH    ]: carry=0 | base=1.95 | wall=1.89 | search=344 | target=none
R15[SITE      ]: carry=0 | base=0.47 | wall=3.04 | search=  0 | target=site(-0.23,-0.55)
R16[SEARCH    ]: carry=0 | base=1.56 | wall=1.95 | search=344 | target=none

======================================================================
Step 1000 (0.5 min) | Pickups: 13 | Deposits: 4 | Rate: 7.50 tags/min | phero_entries=4 max_w=0.869
======================================================================
R1[SURVEY    ]: carry=1 | base=2.29 | wall=1.47 | search=  0 | target=none
R2[WALL_ESC  ]: carry=0 | base=3.82 | wall=0.34 | search=532 | target=none
R3[RTB       ]: carry=1 | base=0.56 | wall=2.97 | search=  0 | target=none
R4[RTB       ]: carry=1 | base=1.47 | wall=2.21 | search=  0 | target=none
R5[SURVEY    ]: carry=1 | base=0.62 | wall=3.02 | search=  0 | target=none
R6[SURVEY    ]: carry=1 | base=3.31 | wall=1.03 | search=  0 | target=none
R7[SURVEY    ]: carry=1 | base=2.33 | wall=1.17 | search=  0 | target=none
R8[RTB       ]: carry=1 | base=2.52 | wall=1.01 | search=  0 | target=none
R9[SURVEY    ]: carry=1 | base=1.24 | wall=2.27 | search=  0 | target=none
R10[SEARCH    ]: carry=0 | base=2.44 | wall=1.54 | search=844 | target=none
R11[BASE_ESC  ]: carry=0 | base=0.18 | wall=3.33 | search=  0 | target=site(-0.35,-0.44)
R12[SEARCH    ]: carry=0 | base=3.16 | wall=0.96 | search=685 | target=none
R13[SEARCH    ]: carry=0 | base=3.14 | wall=0.38 | search=844 | target=none
R14[RTB       ]: carry=1 | base=2.52 | wall=1.32 | search=  0 | target=none
R15[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.26 | search=  0 | target=site(-0.25,-0.53)
R16[GIVE_UP   ]: carry=0 | base=2.04 | wall=1.47 | search=624 | target=none

======================================================================
Step 1500 (0.8 min) | Pickups: 14 | Deposits: 8 | Rate: 10.00 tags/min | phero_entries=8 max_w=0.592
======================================================================
R1[RTB       ]: carry=1 | base=1.15 | wall=2.46 | search=  0 | target=none
R2[SEARCH    ]: carry=0 | base=4.15 | wall=0.37 | search=1032 | target=none
R3[SEARCH    ]: carry=0 | base=1.09 | wall=2.45 | search= 81 | target=site(0.26,-1.05)
R4[SITE      ]: carry=0 | base=0.42 | wall=3.10 | search=  0 | target=site(-0.73,1.29)
R5[SITE      ]: carry=0 | base=0.36 | wall=3.16 | search=  0 | target=site(-0.39,-0.48)
R6[RTB       ]: carry=1 | base=1.88 | wall=2.11 | search=  0 | target=none
R7[RTB       ]: carry=1 | base=1.02 | wall=2.48 | search=  0 | target=none
R8[RTB       ]: carry=1 | base=0.95 | wall=2.55 | search=  0 | target=none
R9[SITE      ]: carry=0 | base=0.66 | wall=2.85 | search=  0 | target=site(-1.22,-0.16)
R10[SEARCH    ]: carry=0 | base=3.38 | wall=0.39 | search=1344 | target=none
R11[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.29 | search=344 | target=site(-0.35,-0.44)
R12[WALL_ESC  ]: carry=0 | base=4.44 | wall=0.30 | search=1185 | target=none
R13[SEARCH    ]: carry=0 | base=3.14 | wall=0.38 | search=1344 | target=none
R14[RTB       ]: carry=1 | base=0.61 | wall=2.98 | search=  0 | target=none
R15[GIVE_UP   ]: carry=0 | base=0.31 | wall=3.28 | search=156 | target=none
R16[RTB       ]: carry=1 | base=1.07 | wall=2.44 | search=  0 | target=none

======================================================================
Step 2000 (1.1 min) | Pickups: 17 | Deposits: 14 | Rate: 13.12 tags/min | phero_entries=14 max_w=0.787
======================================================================
R1[SITE      ]: carry=0 | base=0.74 | wall=2.80 | search=  0 | target=site(2.03,1.04)
R2[WALL_ESC  ]: carry=0 | base=4.47 | wall=0.34 | search=1532 | target=none
R3[PHERO     ]: carry=0 | base=0.26 | wall=3.27 | search=  0 | target=phero(-0.12,2.33)
R4[RTB       ]: carry=1 | base=1.05 | wall=2.55 | search=  0 | target=none
R5[RTB       ]: carry=1 | base=0.32 | wall=3.24 | search=  0 | target=none
