[robot2] Step 2000 | Picks: 2 | Deps: 2 | Rate: 1.36 deps/min (wall time)
[robot2] Step 4000 | Picks: 3 | Deps: 2 | Rate: 1.05 deps/min (wall time)
[robot2] Step 6000 | Picks: 4 | Deps: 4 | Rate: 1.77 deps/min (wall time)
[robot2] Step 8000 | Picks: 6 | Deps: 6 | Rate: 2.31 deps/min (wall time)
[robot2] Step 10000 | Picks: 6 | Deps: 6 | Rate: 1.89 deps/min (wall time)
[robot2] Step 12000 | Picks: 6 | Deps: 6 | Rate: 1.59 deps/min (wall time)
[robot2] Step 14000 | Picks: 6 | Deps: 6 | Rate: 1.37 deps/min (wall time)
[robot2] Step 16000 | Picks: 6 | Deps: 6 | Rate: 1.19 deps/min (wall time)
[robot2] Step 18000 | Picks: 6 | Deps: 6 | Rate: 1.07 deps/min (wall time)
[robot2] Step 20000 | Picks: 6 | Deps: 6 | Rate: 0.97 deps/min (wall time)
[robot2] Step 22000 | Picks: 6 | Deps: 6 | Rate: 0.88 deps/min (wall time)
[robot2] Step 24000 | Picks: 6 | Deps: 6 | Rate: 0.81 deps/min (wall time)
[robot2] Step 26000 | Picks: 6 | Deps: 6 | Rate: 0.75 deps/min (wall time)
[robot2] Step 28000 | Picks: 6 | Deps: 6 | Rate: 0.70 deps/min (wall time)
[robot2] Step 30000 | Picks: 6 | Deps: 6 | Rate: 0.65 deps/min (wall time)
[robot2] Step 32000 | Picks: 6 | Deps: 6 | Rate: 0.61 deps/min (wall time)
[robot2] Step 34000 | Picks: 6 | Deps: 6 | Rate: 0.58 deps/min (wall time)
[robot2] Step 36000 | Picks: 6 | Deps: 6 | Rate: 0.55 deps/min (wall time)
[robot2] Step 38000 | Picks: 6 | Deps: 6 | Rate: 0.52 deps/min (wall time)
[robot2] Step 40000 | Picks: 6 | Deps: 6 | Rate: 0.49 deps/min (wall time)
[robot2] Step 42000 | Picks: 6 | Deps: 6 | Rate: 0.47 deps/min (wall time)
[robot2] Step 44000 | Picks: 6 | Deps: 6 | Rate: 0.45 deps/min (wall time)
[robot2] Step 46000 | Picks: 6 | Deps: 6 | Rate: 0.43 deps/min (wall time)
[robot2] Step 48000 | Picks: 6 | Deps: 6 | Rate: 0.41 deps/min (wall time)
