method,distribution,arena,sample,completed,status,completion_time_min,elapsed_time_min,steps,pickups,deposits
cpfa_baseline,clustered,5x5,1,true,completed,77.7403,77.7403,145763,64,64
cpfa_baseline,clustered,5x5,2,true,completed,51.6699,51.6699,96881,64,64
cpfa_baseline,clustered,5x5,3,true,completed,49.9771,49.9771,93707,64,64
cpfa_baseline,clustered,5x5,4,true,completed,57.5104,57.5104,107832,64,64
cpfa_baseline,clustered,5x5,5,true,completed,58.6011,58.6011,109877,64,64
cpfa_baseline,clustered,5x5,6,true,completed,43.0187,43.0187,80660,64,64
cpfa_baseline,clustered,5x5,7,true,completed,30.3723,30.3723,56948,64,64
cpfa_baseline,clustered,5x5,8,true,completed,30.0699,30.0699,56381,64,64
cpfa_baseline,clustered,5x5,9,true,completed,94.0763,94.0763,176393,64,64
cpfa_baseline,clustered,5x5,10,true,completed,35.9787,35.9787,67460,64,64
