method,distribution,arena,sample,completed,status,completion_time_min,elapsed_time_min,steps,pickups,deposits
cpfa_baseline,powerlaw,5x5,1,true,completed,42.4667,42.4667,79625,64,64
cpfa_baseline,powerlaw,5x5,2,true,completed,51.3488,51.3488,96279,64,64
cpfa_baseline,powerlaw,5x5,3,true,completed,44.8912,44.8912,84171,64,64
cpfa_baseline,powerlaw,5x5,4,true,completed,44.6219,44.6219,83666,64,64
cpfa_baseline,powerlaw,5x5,5,true,completed,32.2005,32.2005,60376,64,64
cpfa_baseline,powerlaw,5x5,6,true,completed,51.08,51.08,95775,64,64
cpfa_baseline,powerlaw,5x5,7,true,completed,62.1376,62.1376,116508,64,64
cpfa_baseline,powerlaw,5x5,8,true,completed,44.9525,44.9525,84286,64,64
cpfa_baseline,powerlaw,5x5,9,true,completed,30,30,56250,64,64
cpfa_baseline,powerlaw,5x5,10,true,completed,44.4405,44.4405,83326,64,64
