method,arena,num_robots,num_tags,sample,foraging_time_min,pickups,deposits
centralized_ppo,7x7,4,64,1,15,45,42
centralized_ppo,7x7,4,64,2,15,61,59
centralized_ppo,7x7,4,64,3,15,49,49
centralized_ppo,7x7,4,64,4,15,38,38
centralized_ppo,7x7,4,64,5,15,50,50
centralized_ppo,7x7,4,64,6,15,39,39
centralized_ppo,7x7,4,64,7,15,48,48
centralized_ppo,7x7,4,64,8,15,44,44
centralized_ppo,7x7,4,64,9,15,45,43
centralized_ppo,7x7,4,64,10,15,47,46
centralized_ppo,7x7,4,64,11,15,57,57
centralized_ppo,7x7,4,64,12,15,44,43
centralized_ppo,7x7,4,64,13,15,36,35
centralized_ppo,7x7,4,64,14,15,53,53
centralized_ppo,7x7,4,64,15,15,48,47
centralized_ppo,7x7,4,64,16,15,48,48
centralized_ppo,7x7,4,64,17,15,46,44
centralized_ppo,7x7,4,64,18,15,48,47
centralized_ppo,7x7,4,64,19,15,32,32
centralized_ppo,7x7,4,64,20,15,49,48
