method,arena,num_robots,num_tags,sample,foraging_time_min,pickups,deposits
cpfa_baseline,7x7,4,64,1,15,29,28
cpfa_baseline,7x7,4,64,2,15,28,28
cpfa_baseline,7x7,4,64,3,15,42,42
cpfa_baseline,7x7,4,64,4,15,31,31
cpfa_baseline,7x7,4,64,5,15,32,31
cpfa_baseline,7x7,4,64,6,15,26,26
cpfa_baseline,7x7,4,64,7,15,17,17
cpfa_baseline,7x7,4,64,8,15,18,18
cpfa_baseline,7x7,4,64,9,15,13,13
cpfa_baseline,7x7,4,64,10,15,30,30
cpfa_baseline,7x7,4,64,11,15,29,28
cpfa_baseline,7x7,4,64,12,15,25,23
cpfa_baseline,7x7,4,64,13,15,12,12
cpfa_baseline,7x7,4,64,14,15,30,29
cpfa_baseline,7x7,4,64,15,15,26,24
cpfa_baseline,7x7,4,64,16,15,32,30
cpfa_baseline,7x7,4,64,17,15,21,21
cpfa_baseline,7x7,4,64,18,15,40,39
cpfa_baseline,7x7,4,64,19,15,25,24
cpfa_baseline,7x7,4,64,20,15,42,42
