method,experiment,distribution,arena,sample,foraging_time_min,completed_all_tags,status,elapsed_sim_min,steps,pickups,deposits
centralized_ppo,foraging_time,random,5x5,1,12,false,duration_elapsed,12,22500,52,52
centralized_ppo,foraging_time,random,5x5,2,12,false,duration_elapsed,12,22500,51,51
centralized_ppo,foraging_time,random,5x5,3,12,false,duration_elapsed,12,22500,50,50
centralized_ppo,foraging_time,random,5x5,4,12,false,duration_elapsed,12,22500,54,53
centralized_ppo,foraging_time,random,5x5,5,12,false,duration_elapsed,12,22500,52,51
centralized_ppo,foraging_time,random,5x5,6,12,false,duration_elapsed,12,22500,52,51
centralized_ppo,foraging_time,random,5x5,7,12,false,duration_elapsed,12,22500,54,51
centralized_ppo,foraging_time,random,5x5,8,12,false,duration_elapsed,12,22500,58,58
centralized_ppo,foraging_time,random,5x5,9,12,false,duration_elapsed,12,22500,53,52
centralized_ppo,foraging_time,random,5x5,10,12,false,duration_elapsed,12,22500,57,56
