method,experiment,distribution,arena,sample,foraging_time_min,completed_all_tags,status,elapsed_sim_min,steps,pickups,deposits
cpfa_baseline,foraging_time,powerlaw,5x5,1,12,false,duration_elapsed,12,22500,35,34
cpfa_baseline,foraging_time,powerlaw,5x5,2,12,false,duration_elapsed,12,22500,34,32
cpfa_baseline,foraging_time,powerlaw,5x5,3,12,false,duration_elapsed,12,22500,25,24
cpfa_baseline,foraging_time,powerlaw,5x5,4,12,false,duration_elapsed,12,22500,44,42
cpfa_baseline,foraging_time,powerlaw,5x5,5,12,false,duration_elapsed,12,22500,31,31
cpfa_baseline,foraging_time,powerlaw,5x5,6,12,false,duration_elapsed,12,22500,41,41
cpfa_baseline,foraging_time,powerlaw,5x5,7,12,false,duration_elapsed,12,22500,37,36
cpfa_baseline,foraging_time,powerlaw,5x5,8,12,false,duration_elapsed,12,22500,24,24
cpfa_baseline,foraging_time,powerlaw,5x5,9,12,false,duration_elapsed,12,22500,35,34
cpfa_baseline,foraging_time,powerlaw,5x5,10,12,false,duration_elapsed,12,22500,27,26
