method,experiment,distribution,arena,sample,foraging_time_min,completed_all_tags,status,elapsed_sim_min,steps,pickups,deposits
cpfa_baseline,foraging_time,random,5x5,1,12,false,duration_elapsed,12,22500,43,42
cpfa_baseline,foraging_time,random,5x5,2,12,false,duration_elapsed,12,22500,40,40
cpfa_baseline,foraging_time,random,5x5,3,12,false,duration_elapsed,12,22500,42,41
cpfa_baseline,foraging_time,random,5x5,4,12,false,duration_elapsed,12,22500,41,40
cpfa_baseline,foraging_time,random,5x5,5,12,false,duration_elapsed,12,22500,39,39
cpfa_baseline,foraging_time,random,5x5,6,12,false,duration_elapsed,12,22500,40,39
cpfa_baseline,foraging_time,random,5x5,7,12,false,duration_elapsed,12,22500,36,35
cpfa_baseline,foraging_time,random,5x5,8,12,false,duration_elapsed,12,22500,45,43
cpfa_baseline,foraging_time,random,5x5,9,12,false,duration_elapsed,12,22500,38,38
cpfa_baseline,foraging_time,random,5x5,10,12,false,duration_elapsed,12,22500,44,41
