method,arena,sample,foraging_time_min,disconnect_start_min,disconnect_duration_min,pickups,deposits
exp4_disconnect,5x5,1,10,4.89,1,46,46
exp4_disconnect,5x5,2,10,1.66,1,47,46
exp4_disconnect,5x5,3,10,7.97,1,54,54
exp4_disconnect,5x5,4,10,4.64,1,47,46
exp4_disconnect,5x5,5,10,3.32,1,46,44
exp4_disconnect,5x5,6,10,1.23,1,47,46
exp4_disconnect,5x5,7,10,3.23,1,43,43
exp4_disconnect,5x5,8,10,6.97,1,53,51
exp4_disconnect,5x5,9,10,1.08,1,50,49
exp4_disconnect,5x5,10,10,7.4,1,52,50
exp4_disconnect,5x5,11,10,6.62,1,49,49
exp4_disconnect,5x5,12,10,5.85,1,45,45
exp4_disconnect,5x5,13,10,0.71,1,44,44
exp4_disconnect,5x5,14,10,0.82,1,43,43
exp4_disconnect,5x5,15,10,4.67,1,59,58
exp4_disconnect,5x5,16,10,0.63,1,42,42
exp4_disconnect,5x5,17,10,5.82,1,47,46
exp4_disconnect,5x5,18,10,2.94,1,48,47
exp4_disconnect,5x5,19,10,6.38,1,48,46
exp4_disconnect,5x5,20,10,4.43,1,48,48
