method,arena,sample,foraging_time_min,disconnect_start_min,disconnect_duration_min,fault_robot,failure_time_min,fault_robot_2,failure_time_min_2,pickups,deposits
exp4b_2fault,5x5,1,10,,,1,2.3924,2,1.2879,26,26
exp4b_2fault,5x5,2,10,,,4,2.3433,2,2.5859,23,23
exp4b_2fault,5x5,3,10,,,4,1.9965,3,1.0383,8,8
exp4b_2fault,5x5,4,10,,,4,1.7447,3,2.7046,24,22
exp4b_2fault,5x5,5,10,,,4,1.3524,2,2.7018,21,21
exp4b_2fault,5x5,6,10,,,1,1.3069,2,1.3212,7,7
exp4b_2fault,5x5,7,10,,,4,2.5446,1,2.1944,20,20
exp4b_2fault,5x5,8,10,,,3,1.3637,4,1.1271,23,23
exp4b_2fault,5x5,9,10,,,1,2.8838,4,2.6782,14,14
exp4b_2fault,5x5,10,10,,,3,2.7775,2,2.0445,21,21
exp4b_2fault,5x5,11,10,,,1,2.308,3,2.2995,12,12
exp4b_2fault,5x5,12,10,,,1,2.6896,4,1.9148,27,27
exp4b_2fault,5x5,13,10,,,3,2.0578,2,2.4023,21,21
exp4b_2fault,5x5,14,10,,,2,2.6967,1,2.5617,14,14
exp4b_2fault,5x5,15,10,,,1,1.5363,3,2.4566,22,21
exp4b_2fault,5x5,16,10,,,1,2.3253,3,1.594,17,17
exp4b_2fault,5x5,17,10,,,3,1.868,4,1.9461,15,15
exp4b_2fault,5x5,18,10,,,4,2.5473,3,1.7162,28,26
exp4b_2fault,5x5,19,10,,,1,2.4622,3,2.1482,18,17
exp4b_2fault,5x5,20,10,,,3,2.3801,1,1.8495,22,22
