method,arena,sample,foraging_time_min,disconnect_start_min,disconnect_duration_min,fault_robot,failure_time_min,pickups,deposits
exp4b_fault,5x5,1,10,,,1,1.05,35,34
exp4b_fault,5x5,2,10,,,3,1.4898,43,42
exp4b_fault,5x5,3,10,,,2,2.4729,49,49
exp4b_fault,5x5,4,10,,,1,2.181,46,44
exp4b_fault,5x5,5,10,,,1,1.0596,37,37
exp4b_fault,5x5,6,10,,,2,1.4653,43,42
exp4b_fault,5x5,7,10,,,1,2.1225,38,38
exp4b_fault,5x5,8,10,,,4,1.4409,40,39
exp4b_fault,5x5,9,10,,,3,2.6189,50,50
exp4b_fault,5x5,10,10,,,1,2.5176,41,40
exp4b_fault,5x5,11,10,,,2,2.3963,39,39
exp4b_fault,5x5,12,10,,,3,1.5557,45,44
exp4b_fault,5x5,13,10,,,2,2.9144,43,42
exp4b_fault,5x5,14,10,,,3,1.2044,41,41
exp4b_fault,5x5,15,10,,,4,1.1934,40,40
exp4b_fault,5x5,16,10,,,3,2.2075,45,45
exp4b_fault,5x5,17,10,,,1,2.4595,40,38
exp4b_fault,5x5,18,10,,,1,2.9462,44,42
exp4b_fault,5x5,19,10,,,4,1.1576,45,43
exp4b_fault,5x5,20,10,,,3,2.6588,36,35
