method,arena,robots,sample,active_tags,foraging_time_min,pickups,deposits,deposit_fraction
decentralized_ppo,7x7,12,1,128,10,98,98,0.765625
decentralized_ppo,7x7,12,2,128,10,100,100,0.78125
decentralized_ppo,7x7,12,3,128,10,108,108,0.84375
decentralized_ppo,7x7,12,4,128,10,105,105,0.8203125
decentralized_ppo,7x7,12,5,128,10,91,91,0.7109375
decentralized_ppo,7x7,12,6,128,10,102,102,0.796875
decentralized_ppo,7x7,12,7,128,10,116,116,0.90625
decentralized_ppo,7x7,12,8,128,10,95,95,0.7421875
decentralized_ppo,7x7,12,9,128,10,84,84,0.65625
decentralized_ppo,7x7,12,10,128,10,101,101,0.7890625
