method,arena,robots,sample,active_tags,foraging_time_min,pickups,deposits,deposit_fraction
cpfa_baseline,7x7,16,1,208,15,161,157,0.754808
cpfa_baseline,7x7,16,2,208,15,169,167,0.802885
cpfa_baseline,7x7,16,3,208,15,156,152,0.730769
cpfa_baseline,7x7,16,4,208,15,148,146,0.701923
cpfa_baseline,7x7,16,5,208,15,170,167,0.802885
cpfa_baseline,7x7,16,6,208,15,157,157,0.754808
cpfa_baseline,7x7,16,7,208,15,147,145,0.697115
cpfa_baseline,7x7,16,8,208,15,155,150,0.721154
cpfa_baseline,7x7,16,9,208,15,165,164,0.788462
cpfa_baseline,7x7,16,10,208,15,144,143,0.6875
