method,experiment,distribution,arena,sample,foraging_time_min,completed_all_tags,status,elapsed_sim_min,steps,pickups,deposits
centralized_ppo,foraging_time,powerlaw,5x5,1,9,false,duration_elapsed,9,16875,44,43
centralized_ppo,foraging_time,powerlaw,5x5,2,9,false,duration_elapsed,9,16875,42,40
centralized_ppo,foraging_time,powerlaw,5x5,3,9,false,duration_elapsed,9,16875,53,52
centralized_ppo,foraging_time,powerlaw,5x5,4,9,false,duration_elapsed,9,16875,53,52
centralized_ppo,foraging_time,powerlaw,5x5,5,9,false,duration_elapsed,9,16875,41,41
centralized_ppo,foraging_time,powerlaw,5x5,6,9,false,duration_elapsed,9,16875,48,48
centralized_ppo,foraging_time,powerlaw,5x5,7,9,false,duration_elapsed,9,16875,48,46
centralized_ppo,foraging_time,powerlaw,5x5,8,9,false,duration_elapsed,9,16875,55,54
centralized_ppo,foraging_time,powerlaw,5x5,9,9,false,duration_elapsed,9,16875,36,35
centralized_ppo,foraging_time,powerlaw,5x5,10,9,false,duration_elapsed,9,16875,51,49
