method,experiment,distribution,arena,sample,foraging_time_min,completed_all_tags,status,elapsed_sim_min,steps,pickups,deposits
centralized_ppo,foraging_time,random,5x5,1,9,false,duration_elapsed,9,16875,47,46
centralized_ppo,foraging_time,random,5x5,2,9,false,duration_elapsed,9,16875,47,45
centralized_ppo,foraging_time,random,5x5,3,9,false,duration_elapsed,9,16875,51,51
centralized_ppo,foraging_time,random,5x5,4,9,false,duration_elapsed,9,16875,45,44
centralized_ppo,foraging_time,random,5x5,5,9,false,duration_elapsed,9,16875,44,41
centralized_ppo,foraging_time,random,5x5,6,9,false,duration_elapsed,9,16875,51,51
centralized_ppo,foraging_time,random,5x5,7,9,false,duration_elapsed,9,16875,40,40
centralized_ppo,foraging_time,random,5x5,8,9,false,duration_elapsed,9,16875,49,49
centralized_ppo,foraging_time,random,5x5,9,9,false,duration_elapsed,9,16875,47,44
centralized_ppo,foraging_time,random,5x5,10,9,false,duration_elapsed,9,16875,46,44
