method,experiment,distribution,arena,sample,foraging_time_min,completed_all_tags,status,elapsed_sim_min,steps,pickups,deposits
cpfa_baseline,foraging_time,powerlaw,5x5,1,9,false,duration_elapsed,9,16875,27,27
cpfa_baseline,foraging_time,powerlaw,5x5,2,9,false,duration_elapsed,9,16875,31,31
cpfa_baseline,foraging_time,powerlaw,5x5,3,9,false,duration_elapsed,9,16875,30,28
cpfa_baseline,foraging_time,powerlaw,5x5,4,9,false,duration_elapsed,9,16875,22,22
cpfa_baseline,foraging_time,powerlaw,5x5,5,9,false,duration_elapsed,9,16875,29,28
cpfa_baseline,foraging_time,powerlaw,5x5,6,9,false,duration_elapsed,9,16875,24,23
cpfa_baseline,foraging_time,powerlaw,5x5,7,9,false,duration_elapsed,9,16875,22,20
cpfa_baseline,foraging_time,powerlaw,5x5,8,9,false,duration_elapsed,9,16875,28,26
cpfa_baseline,foraging_time,powerlaw,5x5,9,9,false,duration_elapsed,9,16875,19,18
cpfa_baseline,foraging_time,powerlaw,5x5,10,9,false,duration_elapsed,9,16875,20,19
