method,experiment,distribution,arena,sample,foraging_time_min,completed_all_tags,status,elapsed_sim_min,steps,pickups,deposits
decentralized,foraging_time,random,5x5,1,9,false,duration_elapsed,9,16875,38,38
decentralized,foraging_time,random,5x5,2,9,false,duration_elapsed,9,16875,34,34
decentralized,foraging_time,random,5x5,3,9,false,duration_elapsed,9,16875,37,36
decentralized,foraging_time,random,5x5,4,9,false,duration_elapsed,9,16875,34,32
decentralized,foraging_time,random,5x5,5,9,false,duration_elapsed,9,16875,41,41
decentralized,foraging_time,random,5x5,6,9,false,duration_elapsed,9,16875,41,41
decentralized,foraging_time,random,5x5,7,9,false,duration_elapsed,9,16875,32,31
decentralized,foraging_time,random,5x5,8,9,false,duration_elapsed,9,16875,37,35
decentralized,foraging_time,random,5x5,9,9,false,duration_elapsed,9,16875,39,39
decentralized,foraging_time,random,5x5,10,9,false,duration_elapsed,9,16875,34,34
