method,arena,sample,foraging_time_min,pickups,deposits
centralized_ppo,9x9,1,50,162,161
centralized_ppo,9x9,2,50,163,162
centralized_ppo,9x9,3,50,173,172
centralized_ppo,9x9,4,50,158,158
centralized_ppo,9x9,5,50,168,167
centralized_ppo,9x9,6,50,165,164
centralized_ppo,9x9,7,50,151,151
centralized_ppo,9x9,8,50,160,159
centralized_ppo,9x9,9,50,158,158
centralized_ppo,9x9,10,50,154,154
centralized_ppo,9x9,11,50,164,162
centralized_ppo,9x9,12,50,157,155
centralized_ppo,9x9,13,50,154,154
centralized_ppo,9x9,14,50,157,157
centralized_ppo,9x9,15,50,157,155
centralized_ppo,9x9,16,50,159,159
centralized_ppo,9x9,17,50,172,171
centralized_ppo,9x9,18,50,169,167
centralized_ppo,9x9,19,50,160,159
centralized_ppo,9x9,20,50,146,146
