method,arena,sample,foraging_time_min,pickups,deposits
cpfa_baseline,5x5,1,10,27,26
cpfa_baseline,5x5,2,10,31,31
cpfa_baseline,5x5,3,10,26,26
cpfa_baseline,5x5,4,10,32,31
cpfa_baseline,5x5,5,10,43,43
cpfa_baseline,5x5,6,10,40,38
cpfa_baseline,5x5,7,10,35,35
cpfa_baseline,5x5,8,10,36,35
cpfa_baseline,5x5,9,10,37,36
cpfa_baseline,5x5,10,10,32,32
cpfa_baseline,5x5,11,10,33,33
cpfa_baseline,5x5,12,10,31,30
cpfa_baseline,5x5,13,10,37,36
cpfa_baseline,5x5,14,10,33,33
cpfa_baseline,5x5,15,10,35,35
cpfa_baseline,5x5,16,10,23,23
cpfa_baseline,5x5,17,10,36,36
cpfa_baseline,5x5,18,10,37,36
cpfa_baseline,5x5,19,10,23,22
cpfa_baseline,5x5,20,10,34,33
