method,arena,sample,foraging_time_min,disconnect_start_min,disconnect_duration_min,pickups,deposits
exp4_disconnect,5x5,1,10,5,1,48,48
exp4_disconnect,5x5,2,10,5,1,46,46
exp4_disconnect,5x5,3,10,5,1,45,44
exp4_disconnect,5x5,4,10,5,1,48,48
exp4_disconnect,5x5,5,10,5,1,48,48
exp4_disconnect,5x5,6,10,5,1,43,42
exp4_disconnect,5x5,7,10,5,1,46,46
exp4_disconnect,5x5,8,10,5,1,43,42
exp4_disconnect,5x5,9,10,5,1,44,43
exp4_disconnect,5x5,10,10,5,1,39,39
exp4_disconnect,5x5,11,10,5,1,51,49
exp4_disconnect,5x5,12,10,5,1,52,51
exp4_disconnect,5x5,13,10,5,1,48,47
exp4_disconnect,5x5,14,10,5,1,51,51
exp4_disconnect,5x5,15,10,5,1,43,41
exp4_disconnect,5x5,16,10,5,1,53,53
exp4_disconnect,5x5,17,10,5,1,47,47
exp4_disconnect,5x5,18,10,5,1,44,44
exp4_disconnect,5x5,19,10,5,1,53,53
exp4_disconnect,5x5,20,10,5,1,47,47
